File name,PID,Landing page,Omission reason (if any)
ICOSETC_BE-Lon_ARCHIVE_INTERIM_L2.zip,11676/JmEjmkD1hSr4YIuo5Uu-L69a,https://hdl.handle.net/11676/JmEjmkD1hSr4YIuo5Uu-L69a,
ICOSETC_DE-RuS_ARCHIVE_INTERIM_L2.zip,11676/xpWUVHGaByDhVAM-dlOlBO2o,https://hdl.handle.net/11676/xpWUVHGaByDhVAM-dlOlBO2o,
ICOSETC_FR-Gri_ARCHIVE_INTERIM_L2.zip,11676/jU9ftXkRFqo-dc91cDfOYuA8,https://hdl.handle.net/11676/jU9ftXkRFqo-dc91cDfOYuA8,
ICOSETC_FR-Lam_ARCHIVE_INTERIM_L2.zip,11676/5msrX-9-wdL5g31PzT0af3nO,https://hdl.handle.net/11676/5msrX-9-wdL5g31PzT0af3nO,
ICOSETC_DE-Geb_ARCHIVE_L2.zip,11676/4214v5CpbnldEJTcT_3emXV8,https://hdl.handle.net/11676/4214v5CpbnldEJTcT_3emXV8,
ICOSETC_FR-Aur_ARCHIVE_L2.zip,11676/HTw1RNlVsnlRmfW07QHieuLj,https://hdl.handle.net/11676/HTw1RNlVsnlRmfW07QHieuLj,
ICOSETC_DE-Kli_ARCHIVE_L2.zip,11676/G3z0eVc7TzZilyHYhW1l4syv,https://hdl.handle.net/11676/G3z0eVc7TzZilyHYhW1l4syv,
CZ-KrP,-,http://www.europe-fluxdata.eu/,
